"Applicant Name","Applicant House Number","Applicant Street Name","Applicant Address 2","Applicant City","Applicant State","Applicant Postcode","Applicant Phone","Project Name","Project Borough","New Construction/Rehabilitation","CRA Amount","Credit Year","CRA Date","Total Units","Total Tax Credit Units","Application Year","Applicant Borough","Latitude","Longitude","Community Board","Council District","BIN","BBL","Census Tract (2020) (from 2023)","Neighborhood Tabulation Area (NTA) (2020) (from 2023)"
"HELP Development Inc. and CMC Development Inc.","5","Hanover Square",,"New York","NY","10004","212-400-8228","Woodcrest Veterans Housing","Bronx","New Construction","$   631,011","2015","10/27/2014","48","48","2014","MANHATTAN","40.704923","-74.009046","1","1","1000832","1000280005","7","Battery Park City-Lower Manhattan"
"Jericho Project Inc.","419","Park Avenue South","18th Floor","New York","NY","10016","212-693-2330","Jericho Walton Apartments","Bronx","New Construction","$   1,201,164","2015","10/27/2014","92","91","2014","MANHATTAN","40.743799","-73.983721","5","2","1018236","1008840084","72","Murray Hill-Kips Bay"
"JGV Management Corporation","1325","Southern Boulevard",,"Bronx","NY","10459","718-991-1856","Grand and Rogers","Bronx","Rehabilitation","$   975,939","2015","10/29/2014","64","61","2014","BRONX","40.831084","-73.891492","3","17","2010494","2029760098","123","Crotona Park East"
"L&M Development Partners","1865","Palmer Avenue",,"Larchmont","NY","10538","212-233-0495 ext. 131","Essex Crossing (Site 6)","Manhattan","New Construction","$   1,939,980","2015","10/30/2014","100","99","2014",,,,,,,,,
"Morris Heights Restoration","215","East 164th Street",,"Bronx","NY","10456","718-538-5000 ext. 17","1890 Andrews Avenue","Bronx","Rehabilitation","$   737,126","2015","10/29/2014","56","47","2014","BRONX","40.829581","-73.919228","4","16","2002722","2024550053","18302","East Concourse-Concourse Village"
"Praxis Housing Initiative","17","Battery Place","Suite 307","New York","NY","10004","917-522-8465","Loring Place North Apartments","Bronx","New Construction","$   1,023,486","2015","10/27/2014","66","65","2014","MANHATTAN","40.704884","-74.015927","1","1","1082634","1000157501","13","Battery Park City-Lower Manhattan"
"St. Nick's Alliance","2","Kingsland Avenue",,"Brooklyn","NY","11211","718-388-5454","North Brooklyn Opportunities","Brooklyn","New Construction / Rehabilitation","$   779,407","2015","10/28/2014","24","24","2014","BROOKLYN","40.715895","-73.940025","1","34","3389465","3028850010","449","East Williamsburg"
"Unique People's Services","4234","Vireo Avenue",,"Bronx","NY","10470","718-231-7711","Lynn's Place","Bronx","New Construction","$   1,041,899","2015","10/27/2014","69","68","2014","BRONX","40.89672","-73.864524","12","11","2019744","2033950019","45101","Woodlawn-Wakefield"
"West Harlem Group Assistance","1652","Amsterdam Avenue",,"New York","NY","10031","212-862-1399 ext. 28","WHGA Dorie Miller Apts","Manhattan","Rehabilitation","$   716,000","2015","10/28/2014","54","52","2014","MANHATTAN","40.823164","-73.949131","9","7","1061799","1020730035","225","Hamilton Heights"
"Women in Need Inc.","115","West 31st Street",,"New York","NY","10001","212-695-4758","118th Street Residence","Manhattan","New Construction","$   620,606","2015","10/29/2014","35","34","2014","MANHATTAN","40.748205","-73.989869","5","3","1080603","1008070050","101","Midtown-Midtown South"
"Community League Of the Heights","500","West 159th Street",,"New York","NY","10032","212-795-4779","2142 Amsterdam Avenue","Manhattan","New Construction","$   678,557","2015","12/24/2014","44","43","2014","MANHATTAN","40.834233","-73.941421","12","7","1062764","1021170034","245","Washington Heights South"
"Bronx Pro Management","1065","Dr. Martin Luther King Blvd",,"Bronx","NY","10453","718-294-5840","G&M Properties","Bronx","Rehabilitation","$   1,089,716","2015","10/28/2014","183","179","2015",,,,,,,,,
"Bronx Pro Management","1065","Dr. Martin Luther King Blvd",,"Bronx","NY","10453","718-294-5840","3365 Third Avenue","Bronx","New Construction","$   1,165,516","2016","12/22/2015","30","30","2015",,,,,,,,,
"Communilife","1815","West Farms Road",,"Bronx","NY","10460","718-991-1700","1815 West Farms","Bronx","New Construction","$   1,196,575","2016","12/22/2015","80","80","2015","BRONX","40.836723","-73.882148","3","17","2010960","2030150062","161","Crotona Park East"
"Fifth Avenue Committee","621","DeGraw Street",,"Brooklyn","NY","11217","718-237-2017","FAC Renassance","Brooklyn","Rehabilitationilitation","$   1,125,265","2016","12/23/2015","64","54","2015","BROOKLYN","40.678948","-73.982857","6","33","3336109","3004200045","119","Park Slope-Gowanus"
"Fordham Bedford","2751","Grand Concourse",,"Bronx","NY","10468","917-645-9522","Tiebout Green","Bronx","New Construction","$   77,847","2016","12/29/2015","20","20","2015","BRONX","40.868185","-73.89278","7","14","2017431","2033150001","40303","Van Cortlandt Village"
"FSG Realty","249","Malcolm X Blvd",,"Brooklyn","NY","11233","718-574-4884","FSG Cluster","Brooklyn","Rehabilitationilitation","$   1,364,000","2016","12/23/2015","88","71","2015","BROOKLYN","40.684058","-73.929276","3","36","3046556","3016670008","383","Stuyvesant Heights"
"FSG Realty","249","Malcolm X Blvd",,"Brooklyn","NY","11233","718-574-4884","FSG Cluster","Brooklyn","Rehabilitationilitation","$   54,137","2016","09/30/2016","88","71","2015","BROOKLYN","40.684058","-73.929276","3","36","3046556","3016670008","383","Stuyvesant Heights"
"HANAC","49","West 45th Street","4th fl","New York","NY","10036","212-840-8005","Corona Senior Residence","Queens","New Construction","$   1,113,604","2016","12/29/2015","67","67","2015","MANHATTAN","40.756087","-73.981072","5","4","1034242","1012610015","96","Midtown-Midtown South"
"New Destiny","12","West 37th Street","7th fl","New York","NY","10018","646-472-0262","Bridge Community","Brooklyn","Rehabilitationilitation","$   394,986","2016","12/23/2015","34","31","2015","MANHATTAN","40.750639","-73.983899","5","4","1015942","1008380058","84","Midtown-Midtown South"
"Phipps Houses","902","Broadway",,"New York","NY","10010","646-388-8278","Lee Goodwin","Bronx","New Construction","$   1,061,993","2016","12/22/2015","60","60","2015","MANHATTAN","40.739279","-73.989726","5","2","1016201","1008490016","52","Hudson Yards-Chelsea-Flatiron-Union Square"
"Post Grad Center for Mental Health","158","East 35th Street",,"New York","NY","10016","212-889-5500","Gates Avenue Residence","Brooklyn","New Construction","$   1,278,771","2016","12/28/2015","68","68","2015","MANHATTAN","40.746782","-73.978581","6","2","1018532","1008900053","72","Murray Hill-Kips Bay"
"Services for the Underserved","305","Seventh Avenue","10th fl","New York","NY","10001","917-408-1638","1434 Undercliff Avenue","Brooklyn","New Construction","$   1,250,000","2016","12/22/2015","74","74","2015","MANHATTAN","40.746817","-73.993655","5","3","1015060","1008037502","95","Midtown-Midtown South"
"SoBro Development Corp.","555","Bergen Avenue","3rd Fl","Brooklyn","NY","10455","718-732-7530","4529 Park Avenue","Bronx","New Construction","$   1,293,127","2016","12/22/2015","65","65","2015","BRONX","40.815959","-73.916354","1","17","2097027","2022940002","71","Melrose South-Mott Haven North"
"SoBro Development Corp.","555","Bergen Avenue","3rd Fl","Brooklyn","NY","10455","718-732-7530","545 East 166th Street","Bronx","New Construction","$   916,000","2016","12/22/2015","40","40","2015","BRONX","40.815959","-73.916354","1","17","2097027","2022940002","71","Melrose South-Mott Haven North"
"Apex Building","51","East 125th Street",,"New York","NY","10035","212-663-6288","1193 Fulton Street","Bronx","New Construction","$   626,200","2017","12/27/2016","24","20","2016","MANHATTAN","40.805605","-73.940309","11","9","1082075","1017500021","198","East Harlem North"
"Apex Building","51","East 125th Street",,"New York","NY","10035","212-663-6288","1193 Fulton Street","Bronx","New Construction","$   273,800","2017","06/14/2017","24","20","2016","MANHATTAN","40.805605","-73.940309","11","9","1082075","1017500021","198","East Harlem North"
"Bronx Pro Management","1065","Dr. Martin Luther King Blvd",,"Bronx","NY","10453","718-294-5840","1017 Home Street","Bronx","New Construction","$   1,764,000","2017","12/27/2016","63","62","2016",,,,,,,,,
"BRP Development","767","Third Avenue","33rd floor","New York","NY","10017","212-488-1739","DTH","Manhattan","New Construction","$   2,006,015","2017","06/07/2017","39","38","2016","MANHATTAN","40.754276","-73.971879","6","4","1037996","1013210047","90","Turtle Bay-East Midtown"
"Community Counseling and Meditation (C.C.M.)","1","Hoyt Street",,"Brooklyn","NY","11201","212-292-8412","Beverly's Place","Brooklyn","New Construction","$   2,491,851","2017","12/27/2016","72","71","2016","BROOKLYN","40.690419","-73.98519","2","33","3332518","3001570009","37","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"H.E.L.P. Development","5","Hanover Square","17th floor","New York","NY","10004","212-400-8204","HELP Livonia II","Brooklyn","New Construction","$   1,323,000","2017","12/27/2016","50","49","2016","MANHATTAN","40.704923","-74.009046","1","1","1000832","1000280005","7","Battery Park City-Lower Manhattan"
"H.E.L.P. Development","5","Hanover Square","17th floor","New York","NY","10004","212-400-8204","HELP Livonia II","Brooklyn","New Construction","$   463,587","2017","06/13/2017","50","49","2016","MANHATTAN","40.704923","-74.009046","1","1","1000832","1000280005","7","Battery Park City-Lower Manhattan"
"Institute for Community Living","125","Broad Street",,"New York","NY","10004","212-385-3030","St. Marks Apartments","Brooklyn","New Construction","$   1,553,167","2017","12/27/2016","70","69","2016","MANHATTAN","40.702112","-74.011249","1","1","1000006","1000057501","9","Battery Park City-Lower Manhattan"
"JGV Management","1325","Southen Boulevard",,"Bronx","NY","10459","347-565-5481","1319-25 Southern Blvd","Bronx","New Construction","$   551,027","2017","12/27/2016","31","27","2016",,,,,,,,,
"JGV Management","1325","Southen Boulevard",,"Bronx","NY","10459","347-565-5481","1319-25 Southern Blvd","Bronx","New Construction","$   463,587","2017","06/13/2017","31","27","2016",,,,,,,,,
"Providence House","703","Lexington Avenue",,"Brooklyn","NY","11221","718-455-0197","PH Halsey Hancock","Brooklyn","New Construction","$   615,180","2017","12/27/2016","21","21","2016","BROOKLYN","40.689767","-73.932837","3","36","3044127","3016210076","291","Stuyvesant Heights"
"Precise Management","68","Jay Street","Suite 307","Brooklyn","NY","11201","718-855-2551","MLG 904 Development","Manhattan","Rehabilitationilitation","$   1,938,000","2017","12/28/2016","116","114","2016","BROOKLYN","40.702763","-73.986681","2","33","3000090","3000400001","21","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Site 8 DSA Owner LLC","150","Myrtle Street",,"Brooklyn","NY","11238","718-422-9999","Essex Crossing Site 8","Manhattan","New Construction","$   2,638,033","2017","12/27/2016","93","92","2016",,,,,,,,,
"The Doe Fund Inc","232","East 84th Street",,"New York","NY","10028","212-628-5207","1420 Crotona East Apartments","Bronx","New Construction","$   1,314,765","2016","12/14/2016","67","63","2016","MANHATTAN","40.777142","-73.954102","8","5","1048714","1015290033","138","Yorkville"
"H.E.L.P. Development & CMC Development LLC","115","East 13th Street",,"New York","NY","10003",,"Wodycrest Veterans Housing","Bronx","New Construction","$   631,011","2016","12/13/2016","48","48","2016","MANHATTAN","40.733304","-73.989316","3","2","1084305","1005590055","42","East Village"
"Yuco Real Estate Company Inc.","200","Park Avenue","11th Floor","New York","NY","10166","212-994-2200   Ext. 207","Brook Avenue Apartments","Bronx","New Construction","$   1,556,280","2016","12/21/2016","66","65","2016","MANHATTAN","40.754162","-73.976557","5","4","1085735","1012809010","92","Turtle Bay-East Midtown"
"Urban Pathways, Inc.","575","8th Avenue","9th Floor","New York","NY","10018","212-736-7385   Ext. 212","162nd Street Homes","Bronx","New Construction","$   1,742,610","2016","12/15/2016","86","86","2016","MANHATTAN","40.754952","-73.991467","4","3","1013644","1007620033","115","Clinton"
"Jericho Project Inc.","419","Park Avenue South","18th Floor","New York","NY","10016","212-693-2330","Jericho Walton Apartments","Bronx","New Construction","$   1,201,164","2016","12/16/2016","92","91","2016","MANHATTAN","40.743799","-73.983721","5","2","1018236","1008840084","72","Murray Hill-Kips Bay"
"Associated Care and Health Management, Inc.","254","West 31st Street","9th floor","New York","NY","10001","212-274-8558","Ryer Avenue","Bronx","New Construction","$   2,583,500","2018","12/12/2017","86","85","2017","MANHATTAN","40.749734","-73.993532","5","3","1014347","1007800071","101","Midtown-Midtown South"
"Aquinas Housing Corporation","1945","Vyse Avenue",,"Bronx","NY","10460","718-842-6440","Aquinas Apartments","Bronx","Rehabilitationilitation","$   875,000","2018","12/12/2017","101","86","2017","BRONX","40.840797","-73.883102","6","17","2113077","2029920052","359","East Tremont"
"Arker Companies","1044","Northern Boulevard",,"Roslyn","NY","11576","516-277-9359","Debevoise Senior Apts","Brooklyn","New Construction","$   1,170,000","2018","12/11/2017","65","64","2017",,,,,,,,,
"Banana Kelly Community Improvement Association Inc.","863","Prospect Avenue",,"Bronx","NY","10459","718-328-1064","Union Avneue Cluster","Bronx","Rehabilitationilitation","$   750,000","2018","12/14/2017","123","120","2017","BRONX","40.820317","-73.901366","1","17","2005007","2026770019","77","Melrose South-Mott Haven North"
"Doe Fund, Inc.","345","East 102nd Street",,"New York","NY","10029","646-672-4456","Villa House","Bronx","New Construction","$   1,406,929","2018","12/12/2017","68","68","2017","MANHATTAN","40.787394","-73.942709","11","8","1086440","1016747501","164","East Harlem South"
"Fordham Bedford","2751","Grand Concourse",,"Bronx","NY","10468","917-645-9522","Bronxview at Serviam","Bronx","New Construction","$   2,510,647","2018","12/13/2017","114","57","2017","BRONX","40.868185","-73.89278","7","14","2017431","2033150001","40303","Van Cortlandt Village"
"MHANY Management Inc","1","Metro Tech Center North","11th Floor","Brooklyn","NY","11201","718-246-8080","1921 Cortelyou Road","Brooklyn","New Construction","$   1,443,924","2018","12/13/2017","76","75","2017","BROOKLYN","40.693463","-73.987227","2","33","3319418","3001470004","11","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"MHANY Management Inc","1","Metro Tech Center North","11th Floor","Brooklyn","NY","11201","718-246-8080","Phoenix Estates II","Bronx","New Construction","$   2,160,000","2018","12/13/2017","108","107","2017","BROOKLYN","40.693463","-73.987227","2","33","3319418","3001470004","11","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Notias Development","29-10","120th Street",,"Flushing","NY","11354","718-888-7679","Mount Hope Preservation Apts 2A","Bronx","Rehabilitationilitation","$   1,600,000","2018","12/11/2017","130","125","2017","QUEENS","40.771853","-73.847965","7","19","4539993","4043460041","907","College Point"
"Institute for Community Living","125","Broad Street",,"New York","NY","10004","212-385-3030","St. Marks Apartments","Brooklyn","New Construction","$   1,553,167","2018","12/18/2018","70","69","2017","MANHATTAN","40.702112","-74.011249","1","1","1000006","1000057501","9","Battery Park City-Lower Manhattan"
"Asian Americans For Equality","2","Allen Street",,"New York","NY","10002","212-299-0538","East Village Homes","Manhattan","New Construction","$   1,017,900","2019","11/27/2018","44","29","2018","MANHATTAN","40.714406","-73.992793","3","1","1088837","1002947502","16","Chinatown"
"Banana Kelly","863","Prospect Avenue",,"Bronx","NY","10459","718-328-1064","BK Westchester","Bronx","Rehabilitationilitation","$   686,000","2019","11/29/2018","115","105","2018","BRONX","40.820317","-73.901366","1","17","2005007","2026770019","77","Melrose South-Mott Haven North"
"Bronx Pro","1605","University Avenue",,"Bronx","NY","10453","718-294-5840","BP Mapes","Bronx","New Construction","$   1,028,622","2019","12/26/2018","30","24","2018","BRONX","40.847076","-73.920313","5","14","2114454","2028780019","21501","University Heights-Morris Heights"
"Community League of the Heights","500","West 159th Street",,"New York","NY","10031","212-795-4779","CLOTH Amsterdam","Manhattan","Rehabilitationilitation","$   1,173,000","2019","11/28/2018","58","37","2018","MANHATTAN","40.834233","-73.941421","12","7","1062764","1021170034","245","Washington Heights South"
"Doe Fund","345","East 102nd Street",,"New York","NY","10029","646-672-4456","Muller House","Bronx","New Construction","$   1,300,000","2019","11/26/2018","90","89","2018","MANHATTAN","40.787394","-73.942709","11","8","1086440","1016747501","164","East Harlem South"
"Dunn Development","589","Sackett Street",,"Brooklyn","NY","11217","718-388-9407","T Building","Queens","New Construction","$   3,297,000","2019","11/27/2018","202","151","2018","BROOKLYN","40.678853","-73.984652","6","33","3394318","3004270001","119","Park Slope-Gowanus"
"Fifth Avenue Committee","621","DeGraw Street",,"Brooklyn","NY","11217","718-237-2017","FAC Renaissance","Brooklyn","Rehabilitationilitation","$   402,954","2019","11/28/2018","64","52","2018","BROOKLYN","40.678948","-73.982857","6","33","3336109","3004200045","119","Park Slope-Gowanus"
"Housing and Services","211","East 203rd Street",,"Bronx","NY","10458","212-252-9377","The Bedford","Bronx","New Construction","$   2,484,000","2019","11/27/2018","107","107","2018","BRONX","40.873849","-73.886085","7","11","2000000","2033090039","413","Bedford Park-Fordham North"
"Hudson Companies","826","Broadway","11th Floor","New York","NY","10003","212-710-6032","Castleton Supportive Housing","Staten Island","New Construction","$   1,104,000","2019","11/27/2018","48","47","2018","MANHATTAN","40.733326","-73.991077","2","2","1009208","1005640034","61","West Village"
"Lemor Realty Corporation","8","West 126th Street",,"New York","NY","10027","917-338-9568","Balton Commons","Manhattan","New Construction","$   912,600","2019","11/26/2018","37","26","2018","MANHATTAN","40.80734","-73.942384","10","9","1089797","1017230031","200","Central Harlem South"
"Related Companies","60","Columbus Circle",,"New York","NY","10023","980-428-3530","Rockaway South","Queens","New Construction","$   1,287,281","2019","11/26/2018","56","56","2018","MANHATTAN","40.768378","-73.982148","4","3","1026318","1010497501","145","Lincoln Square"
"RiseBoro Community","217","Wyckoff Avenue",,"Brooklyn","NY","11237","718-366-3800","Woodlawn Senior Home","Bronx","New Construction","$   1,840,000","2019","11/27/2018","80","79","2018","BROOKLYN","40.702153","-73.915751","4","37","3326375","3032910001","443","Bushwick North"
"Transitional Services for New York","10","162nd Street",,"whitestone","NY","11357","718-559-1133","161-01 89th Avenue","Queens","New Construction","$   1,587,000","2019","11/28/2018","70","69","2018",,,,,,,,,
"Twin Brothers Development","141","Dwight Steet",,"Brooklyn","NY","11231","(347)563-0927","545 East 166 Terrace LLC","Bronx","New Construction","$   916,000","2019","11/29/2018","40","40","2018",,,,,,,,,
"JGV Management Corp.","1325","Souther Boulevard",,"Bronx","NY","10459","(212)455-9323","1319-25 Southern Blvd LLC","Bronx","New Construction","$   891,857","2019","11/19/2018","30","27","2018",,,,,,,,,
"SUS Undercliff HDFC","305","Seventh Ave",,"New York","NY","10001","(917)408-1695","SUS-Mental Health Programs Inc.","Manhattan","New Construction","$   1,250,000","2019","12/05/2018","74","74","2018","MANHATTAN","40.746817","-73.993655","5","3","1015060","1008037502","95","Midtown-Midtown South"
"Brisa Evergreen LLC & Lemle & Wolff Development Company","2009","Flatbush Avenue",,"Brooklyn","NY","11234","(718)774-6103","BPHN Senior Residence Project","Brooklyn","New Construction","$   1,553,167","2019","05/22/2018","89","88","2018","BROOKLYN","40.62067","-73.934765","18","45","3219619","3078670108","650","Flatlands"
"Brisa Evergreen LLC & Lemle & Wolff Development Company","2009","Flatbush Avenue",,"Brooklyn","NY","11234","(718)774-6103","BPHN Senior Residence Project","Brooklyn","New Construction","$   4,643","2019","10/03/2018","89","88","2018","BROOKLYN","40.62067","-73.934765","18","45","3219619","3078670108","650","Flatlands"
"Brooklyn North HDFC/ East Brooklyn Congregations","535","Madison Avenue","9th Floor","New York","NY","10022","212-883-6550","Brooklyn North/Ocean Hill NCP Cluster","Brooklyn","New Construction","$1,266,724","2020","12/23/2019","42","41","2019","New York","40.760354","-73.973454","105","4","1035747","1012900021","102","Midtown-Midtown South"
"Exact Capital/ Victory Baptist Equities LLC","150","East 52nd Street","14th Floor","New York","NY","10022","212-301-2466","Victory Commons","Bronx","New Construction","$2,162,000","2020","12/23/2019","95","94","2019","New York","40.757534","-73.970965","106","4","1036463","1013060042","100","Turtle Bay-East Midtown"
"WellLife Network Inc.","142-02","20th Avenue","3rd Floor","Flushing","NY","11351","718-559-0516","Cypress Ave Apartments","Queens","New Construction","$1,518,000","2020","12/30/2019","66","66","2019","Flushing","40.781681","-73.825862","407","19","4099356","4041830075","907","College Point"
"Catholic Charities Progress of Peoples Development Corporation (CCPOPD)","191","Joralemon Street","8th Floor","Brooklyn","NY","11201","718-772-6239","Catherine Sheridan II ( Bishop Rene Valero Senior Residence)","Queens","New Construction","$3,114,769","2020","12/20/2019","103","102","2019","Brooklyn","40.692671","-73.991785","302","33","3002244","3002550008","9","Brooklyn Heights-Cobble Hill"
"Services for the Underserved / CB Emmanuel Realty LLC","221-10","Jamaica Avenue","LL1","Queens Village","NY","11428","646-813-1313","Alabama Avenue Apartments","Brooklyn","New Construction","$2,303,500","2020","12/23/2019","71","70","2019","Queens Village","40.71974","-73.73296","413","27","4231223","4107890276","568","Queens Village"
"Fairstead Affordable NY LP","250","West 55th Street","35th Floor","New York","NY","10019","212-798-4069","Park 79 Preservation","Manhattan","Rehabilitation","$2,664,000","2020","01/07/2020","77","78","2019","New York","40.765016","-73.982896","105","3","1089439","1010260055","137","Midtown-Midtown South"
"Fordham Bedford Housing Corporation","2751","Grand Concourse",,"Bronx","NY","10468","917-645-9522","Park Gates","Bronx","Rehabilitation","$1,688,122","2020","01/02/2020","75","63","2019","Bronx","40.868185","-73.89278","207","14","2017431","2033150001","40303","Van Cortlandt Village"
"Lemle & Wolff Development Co. LLC","5925","Broadway",,"Bronx","NY","10463","718-865-1826","MMN1902 - West 117th Street","Manhattan","Rehabilitation","$1,526,635","2020","12/23/2019","41","40","2019","Bronx","40.888213","-73.8989","208","11","2084013","2057760539","285","Spuyten Duyvil-Kingsbridge"
"Concern for Independent Living, Inc.","312","Expressway Drive South",,"Medford","NY","11763","631-758-0474","Concern Pitkin Avenue","Brooklyn","New Construction","$1,311,000","2021","08/21/2020","58","57","2020","Medford",,,,,,,,
"Pratt Area Community Council / IMPACCT Brooklyn","1000","Dean Street","Suite 420","Brooklyn","NY","11238","347-823-5705","811 Lexington Senior Residence","Brooklyn","New Construction","$1,449,000","2021","06/09/2020","64","63","2020","Brooklyn","40.677929","-73.957216","308","35","3028018","3011420018","305","Crown Heights North"
"Lemle & Wolff Development Co, Alembic Development Company, LLC, & The Bridge, Inc","5925","Broadway",,"Bronx","NY","10463","718-865-1847","Betances VI","Bronx","New Construction","$2,323,000","2021","12/10/2020","101","100","2020","Bronx","40.888213","-73.8989","208","11","2084013","2057760539","285","Spuyten Duyvil-Kingsbridge"
"Gotham Real Estate Developers II, LLC","432","Park Avenue South","2nd Floor","New York","NY","10016","212-716-2585","Norfolk Street Senior","Manhattan","New Construction","$3,147,604","2021","12/16/2020","115","114","2020","New York","40.744257","-73.98341","105","2","1016934","1008590039","74","Midtown-Midtown South"
"H.E.L.P. Development Corp.","115","East 13th Street",,"New York","NY","10003","212-400-8204","HELP ONE Building B","Brooklyn","New Construction","$1,588,100","2021","12/10/2020","71","70","2020","New York","40.733304","-73.989316","103","2","1084305","1005590055","42","East Village"
"Federation of Organizations for the New York State Mentally Disabled, Inc.","1","Farmingdale Road",,"West Babylon","NY","11704","631-669-5355","Federation Nameoke Apartments","Queens","New Construction","$2,668,000","2021","12/14/2020","117","116","2020","West Babylon",,,,,,,,
"Southside United HDFC / Los Sures","434","South 5th Street",,"Brooklyn","NY","11211","718-963-1391","Rheingold Senior Residences","Brooklyn","New Construction","$1,625,000","2021","07/16/2021","93","94","2020","Brooklyn","40.707016","-73.951506","301","34","3321351","3024650006","527","North Side-South Side"
